loan_id,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,delinq_2y,inquiries_last_12m,total_credit_limit,total_credit_utilized,num_historical_failed_to_pay,public_record_bankrupt,loan_purpose,loan_amount,term,interest_rate,grade,loan_status,risk_level,credit_utilization_ratio
1,3,NJ,Mortgage,90000.0,Verified,18.01,0,6,70795.0,38767.0,0,0,Moving,28000,60,14.07,C,Current,Medium Risk,0.5475951691503638
2,10,HI,Rent,40000.0,Not Verified,5.04,0,1,28800.0,4321.0,1,1,Debt Consolidation,5000,36,12.61,C,Current,Medium Risk,0.15003472222222222
3,3,WI,Rent,40000.0,Source Verified,21.15,0,4,24193.0,16000.0,0,0,Other,2000,36,17.09,D,Current,Medium Risk,0.6613483238953416
4,1,PA,Rent,30000.0,Not Verified,10.16,0,0,25400.0,4997.0,1,0,Debt Consolidation,21600,36,6.72,A,Current,Medium Risk,0.19673228346456692
5,10,CA,Rent,35000.0,Verified,57.96,0,7,69839.0,52722.0,0,0,Credit Card,23000,36,14.07,C,Current,Medium Risk,0.7549077163189621
6,6,KY,Own,34000.0,Not Verified,6.46,1,6,42100.0,3898.0,0,0,Other,5000,36,6.72,A,Current,Medium Risk,0.09258907363420428
7,10,MI,Mortgage,35000.0,Source Verified,23.66,0,1,291852.0,18916.0,0,0,Credit Card,24000,60,13.59,C,Current,Medium Risk,0.06481367268341488
8,10,AZ,Mortgage,110000.0,Source Verified,16.19,1,1,342336.0,60805.0,0,0,Debt Consolidation,20000,60,11.99,B,Current,Medium Risk,0.1776178958683866
9,10,NV,Mortgage,65000.0,Source Verified,36.48,1,3,283190.0,69561.0,0,0,Home Improvement,20000,36,13.59,C,Current,Medium Risk,0.2456336735054204
10,3,IL,Rent,30000.0,Not Verified,18.91,0,0,33114.0,17768.0,0,0,Credit Card,6400,36,6.71,A,Current,Medium Risk,0.5365706347768315
11,10,IL,Mortgage,75000.0,Verified,10.45,0,4,39433.0,22895.0,1,1,Debt Consolidation,25000,60,15.04,C,Current,Medium Risk,0.580605076965993
12,2,FL,Mortgage,91900.0,Source Verified,1.82,0,4,450371.0,55939.0,0,0,Other,40000,60,9.92,B,Current,Medium Risk,0.12420648754027236
13,5,SC,Mortgage,122000.0,Source Verified,12.06,0,8,263800.0,43686.0,0,0,Debt Consolidation,16000,36,13.59,C,Current,Medium Risk,0.1656027293404094
14,10,CO,Mortgage,88000.0,Source Verified,3.67,0,6,259915.0,14387.0,0,0,Credit Card,17000,60,9.43,B,Current,Medium Risk,0.05535271146336302
15,6,FL,Mortgage,17000.0,Verified,33.98,1,0,74042.0,26483.0,1,1,Debt Consolidation,3000,36,19.03,D,Current,Medium Risk,0.3576753734366981
16,10,TN,Mortgage,60000.0,Not Verified,38.46,0,0,136815.0,75552.0,0,0,Credit Card,20000,60,19.03,D,Current,Medium Risk,0.5522201512991997
17,6,NV,Mortgage,60000.0,Not Verified,31.22,0,4,375092.0,93016.0,0,0,Credit Card,12000,60,19.03,D,Current,Medium Risk,0.24798182845808495
18,3,NV,Rent,72000.0,Source Verified,20.33,0,6,58911.0,54947.0,0,0,Debt Consolidation,30000,60,28.72,F,Current,Medium Risk,0.9327120571709867
19,10,IL,Mortgage,170000.0,Verified,9.53,0,2,322046.0,73705.0,0,0,Medical,5000,36,26.77,E,Fully Paid,Low Risk,0.2288648205535855
